Data File Name,Scale Name,Column Name,Transform ,Reverse,Min,Max,Informant_MateRetention_General,Informant_MateRetention_Breakup,Informant_SelfProtection_total,Informant_Disease_total,Informant_Affiliation_group,Informant_Status_total,Informant_MateSeeking_total,Informant_Family_total,Informant_Dominance,Informant_Prestige,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness_To_Experience,BFI-10 Total
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_1,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_2,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_3,0,1,1,7,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_4,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_5,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_6,0,1,1,7,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_7,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_8,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_9,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_10,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_11,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_12,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_13,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_14,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports,YADS-V_Informant_Reports,YADS-V_Informant_Reports_15,0,1,1,7,,,1,,,,,,,,,,,,,
