Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_Affiliation_group,FSMI_Affiliation_Exclusion,FSMI_Affiliation_Independence
YADS-V,FSMI_Affiliation,FSMI_Affiliation_1,,,,,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_2,,,,,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_3,,,,,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_4,,1,1,7,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_5,,,,,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_6,,,,,1,0,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_7,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_8,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_9,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_10,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_11,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_12,,,,,0,1,0
YADS-V,FSMI_Affiliation,FSMI_Affiliation_13,,,,,0,0,1
YADS-V,FSMI_Affiliation,FSMI_Affiliation_14,,,,,0,0,1
YADS-V,FSMI_Affiliation,FSMI_Affiliation_15,,,,,0,0,1
YADS-V,FSMI_Affiliation,FSMI_Affiliation_16,,,,,0,0,1
YADS-V,FSMI_Affiliation,FSMI_Affiliation_17,,,,,0,0,1
YADS-V,FSMI_Affiliation,FSMI_Affiliation_18,,,,,0,0,1
