Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,FSMI_MateRetention_General,FSMI_MateRetention_Breakup
YADS-V,FSMI_MateRetention,FSMI_MateRetention_1,0,,,,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_2,0,,,,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_3,0,1,1,7,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_4,0,,,,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_5,0,,,,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_6,0,1,1,7,1,0
YADS-V,FSMI_MateRetention,FSMI_MateRetention_7,0,,,,0,1
YADS-V,FSMI_MateRetention,FSMI_MateRetention_8,0,,,,0,1
YADS-V,FSMI_MateRetention,FSMI_MateRetention_9,0,,,,0,1
YADS-V,FSMI_MateRetention,FSMI_MateRetention_10,0,,,,0,1
YADS-V,FSMI_MateRetention,FSMI_MateRetention_11,0,,,,0,1
YADS-V,FSMI_MateRetention,FSMI_MateRetention_12,0,,,,0,1
