Data File Name,Scale Name,Column Name,Transform ,Reverse,Min,Max,Informant_MateRetention_General,Informant_MateRetention_Breakup,Informant_SelfProtection_total,Informant_Disease_total,Informant_Affiliation_group,Informant_Status_total,Informant_MateSeeking_total,Informant_Family_total,Informant_BFI_Extraversion,Informant_BFI_Agreeableness,Informant_BFI_Conscientiousness,Informant_BFI_Neuroticism,Informant_BFI_Openness_To_Experience,Informant_BFI_Total,Informant_Dominance_score,Informant_Prestige_score
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_1,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_2,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_3,0,1,1,7,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_4,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_5,0,,,,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_6,0,1,1,7,1,0,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_7,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_8,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_9,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_10,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_11,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_12,0,,,,0,1,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_13,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_14,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_15,0,1,1,7,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_16,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_17,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_18,0,,,,,,1,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_19,0,,,,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_20,0,,,,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_21,0,,,,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_22,0,1,1,7,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_23,0,1,1,7,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_24,0,1,1,7,,,,1,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_25,0,,,,,,,,1,,,,,,,,,,,
