Data File Name,Scale Name,Column Name,transform,reverse,min,max,BFNE_Mean,BFNE-S_Mean
TDS1_Session_2_B_Post,BFNE,BFNE_1,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_2,0,1,0,4,1,0
TDS1_Session_2_B_Post,BFNE,BFNE_3,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_4,0,1,0,4,1,0
TDS1_Session_2_B_Post,BFNE,BFNE_5,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_6,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_7,0,1,0,4,1,0
TDS1_Session_2_B_Post,BFNE,BFNE_8,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_9,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_10,0,1,0,4,1,0
TDS1_Session_2_B_Post,BFNE,BFNE_11,0,0,,,1,1
TDS1_Session_2_B_Post,BFNE,BFNE_12,0,0,,,1,1
