Data File Name,Scale Name,Column Name,Reverse?,min,max,transform?,Belongingness,Self-esteem,Meaningful_existence,Control,Total_Score
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_1,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_2,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_3,0,0,0,0,1,0,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_4,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_5,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_6,1,1,5,0,0,1,0,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_7,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_8,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_9,0,0,0,0,0,0,1,0,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_10,1,1,5,0,0,0,0,1,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_11,1,1,5,0,0,0,0,1,1
TDS1_Session_2_B_Post,"NTS, Cyberball 1",NTS_12,1,1,5,0,0,0,0,1,1
