Data File Name,Scale Name,Column Name,reverse,min,max,PAL2_home,PAL2_school,PAL2_time_spent_with_deviant_friends,PAL2_have_prosocial_friends,PAL2_have_deviant_friends,PAL2_antisocial,PAL2_composite_score
TDS1_Session_2_B_Post,PAL-2,PAL2_3A,,,,1,,,,,,
TDS1_Session_2_B_Post,PAL-2,PAL2_5,1,1,4,1,,,,,,
TDS1_Session_2_B_Post,PAL-2,PAL2_6,1,1,4,1,,,,,,
TDS1_Session_2_B_Post,PAL-2,PAL2_8,,,,1,,,,,,
TDS1_Session_2_B_Post,PAL-2,PAL2_9A,,,,,1,,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_9B,,,,,1,,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_9C,,,,,1,,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_10,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_11A,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_11B,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_11C,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_11D,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_11E,,,,,,1,,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12A,1,1,4,,,,1,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12B,1,1,4,,,,1,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12C,1,1,4,,,,1,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12D,1,1,4,,,,1,,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12E,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12F,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12G,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12H,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12I,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12J,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12K,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12L,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12M,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12N,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_12O,,,,,,,,1,,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14A,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14B,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14C,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14D,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14E,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14F,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14G,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14H,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14I,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14J,,,,,,,,,1,1
TDS1_Session_2_B_Post,PAL-2,PAL2_14K,,,,,,,,,1,1
