Data File Name,Scale Name,Column Name,transform,reverse,min,max,RSQ_S1_Anxious_Expectation,RSQ_S2_Anxious_Expectation,RSQ_S3_Anxious_Expectation,RSQ_S4_Anxious_Expectation,RSQ_S5_Anxious_Expectation,RSQ_S6_Anxious_Expectation,RSQ_S7_Anxious_Expectation,RSQ_S8_Anxious_Expectation,RSQ_S9_Anxious_Expectation,RSQ_S10_Anxious_Expectation,RSQ_S11_Anxious_Expectation,RSQ_S12_Anxious_Expectation,RSQ_S1_Angry_Expectation,RSQ_S2_Angry_Expectation,RSQ_S3_Angry_Expectation,RSQ_S4_Angry_Expectation,RSQ_S5_Angry_Expectation,RSQ_S6_Angry_Expectation,RSQ_S7_Angry_Expectation,RSQ_S8_Angry_Expectation,RSQ_S9_Angry_Expectation,RSQ_S10_Angry_Expectation,RSQ_S11_Angry_Expectation,RSQ_S12_Angry_Expectation,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_1A,0,0,,,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_1B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_1C,0,0,,,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_2A,0,0,,,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_2B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_2C,0,1,1,6,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_3A,0,0,,,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_3B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_3C,0,0,,,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_4A,0,0,,,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_4B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_4C,0,0,,,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_5A,0,0,,,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_5B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_5C,0,0,,,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_6A,0,0,,,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_6B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_6C,0,0,,,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_7A,0,0,,,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_7B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_7C,0,0,,,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_8A,0,0,,,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_8B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_8C,0,0,,,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_9A,0,0,,,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_9B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_9C,0,0,,,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_10A,0,0,,,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_10B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_10C,0,0,,,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_11A,0,0,,,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_11B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_11C,0,0,,,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_12A,0,0,,,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_12B,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prod,
TDS1_Session_2_B_Pre,RSQ_part_1,RSQ_12C,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,prod,0,0,0,0,0,0,0,0,0,0,0,prod,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
