Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,Angry Reaction,Perceived Rection,Self Internalizing
TDS1_Session_2B_pre,RSQ_2,RSQ_video_1,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_2,,1,1,3,0,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_3,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_4,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_5,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_6,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_video_7,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_8,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_video_9,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_video_10,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_11,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_12,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_video_13,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_14,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_video_15,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_1,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_2,,1,1,3,0,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_3,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_4,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_5,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_6,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_7,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_8,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_9,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_10,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_11,,1,1,3,1,0,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_12,,1,1,3,0,0,1
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_13,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_14,,1,1,3,0,1,0
TDS1_Session_2B_pre,RSQ_2,RSQ_grocery_15,,1,1,3,0,0,0
