Data_File_Name,Scale_Name,Column_Name,Response,Score
TDS2_Session_3_-_Child,PSQI,PSQI_1_1_TEXT,9:00-10:00,9pm
TDS2_Session_3_-_Child,PSQI,PSQI_1_1_TEXT,11-11:30,11pm
TDS2_Session_3_-_Child,PSQI,PSQI_1_1_TEXT,10:30-11:30,10:30pm
TDS2_Session_3_-_Child,PSQI,PSQI_1_1_TEXT,11/12,11pm
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,3/4,3am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,9:00-10:00,9pm
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,1-3am,1am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,depends,
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,12-1 AM,12am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,12pm-1am,12am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,"1a,",1am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,10:00-12:00,10:00 PM
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,random,
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,12/1,12am
TDS2_Session_3_-_Child,PSQI,PSQI_1_2_TEXT,1/2,1am
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,5 hours,300
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,10/20,10
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,2hr,120
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,10-15 minutes,10
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,1h,60
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,10/30,10
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,1 hour/2 hours,60
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,5/15,5
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,hour,60
TDS2_Session_3_-_Child,PSQI,PSQI_2_1_TEXT,30+,30
