pid, run, go, stop, go_good_o, stop_good_o, go_bad_o, stop_bad_o, pendec, penout
109, ALONE, 15, 24, 5, 10, 10, 14, 1, 1
109, PEER, 9, 28, 5, 15, 4, 13, 3, 3
109, EXCL, 13, 27, 7, 14, 6, 13, 0, 0
113, ALONE, 16, 23, 9, 12, 7, 11, 1, 1
113, PEER, 18, 21, 10, 11, 8, 10, 1, 1
113, EXCL, 16, 24, 8, 12, 8, 12, 0, 0
114, ALONE, 10, 30, 3, 13, 7, 17, 0, 0
114, PEER, 16, 24, 8, 13, 8, 11, 0, 0
114, EXCL, 17, 23, 11, 14, 6, 9, 0, 0
115, ALONE, 15, 23, 9, 12, 6, 11, 2, 2
115, PEER, 14, 26, 8, 15, 6, 11, 0, 0
115, EXCL, 16, 24, 5, 9, 11, 15, 0, 0
116, ALONE, 24, 16, 11, 7, 13, 9, 0, 0
116, PEER, 24, 16, 14, 10, 10, 6, 0, 0
116, EXCL, 21, 19, 9, 9, 12, 10, 0, 0
117, ALONE, 19, 16, 10, 9, 9, 7, 5, 5
117, PEER, 22, 18, 9, 7, 13, 11, 0, 0
117, EXCL, 23, 17, 10, 7, 13, 10, 0, 0
119, ALONE, 25, 14, 11, 6, 14, 8, 1, 1
119, PEER, 30, 9, 12, 3, 18, 6, 1, 1
119, EXCL, 25, 14, 15, 10, 10, 4, 1, 1
120, ALONE, 23, 13, 10, 6, 13, 7, 4, 4
120, PEER, 17, 21, 11, 12, 6, 9, 2, 2
120, EXCL, 15, 24, 8, 13, 7, 11, 1, 1
121, ALONE, 4, 36, 1, 17, 3, 19, 0, 0
121, PEER, 17, 23, 9, 12, 8, 11, 0, 0
121, EXCL, 11, 27, 6, 15, 5, 12, 2, 2
122, ALONE, 5, 32, 3, 19, 2, 13, 3, 3
122, PEER, 6, 32, 3, 16, 3, 16, 2, 2
122, EXCL, 8, 32, 3, 15, 5, 17, 0, 0
124, ALONE, 13, 25, 5, 11, 8, 14, 2, 2
124, PEER, 12, 28, 5, 14, 7, 14, 0, 0
124, EXCL, 10, 30, 5, 15, 5, 15, 0, 0
125, ALONE, 5, 33, 3, 19, 2, 14, 2, 2
125, PEER, 11, 28, 8, 17, 3, 11, 1, 1
125, EXCL, 9, 29, 3, 14, 6, 15, 2, 2
126, ALONE, 14, 25, 7, 13, 7, 12, 1, 1
126, PEER, 14, 24, 8, 13, 6, 11, 2, 2
126, EXCL, 14, 26, 9, 15, 5, 11, 0, 0
127, ALONE, 4, 35, 4, 20, 0, 15, 1, 1
127, PEER, 3, 35, 2, 18, 1, 17, 2, 2
127, EXCL, 2, 18, 2, 10, 0, 8, 0, 0
128, ALONE, 15, 24, 6, 11, 9, 13, 1, 1
128, PEER, 18, 22, 10, 12, 8, 10, 0, 0
128, EXCL, 17, 23, 7, 10, 10, 13, 0, 0
129, ALONE, 22, 14, 11, 7, 11, 7, 4, 4
129, PEER, 19, 19, 11, 11, 8, 8, 2, 2
129, EXCL, 20, 20, 10, 11, 10, 9, 0, 0
130, ALONE, 8, 30, 3, 16, 5, 14, 2, 2
130, PEER, 14, 26, 7, 13, 7, 13, 0, 0
130, EXCL, 14, 26, 5, 11, 9, 15, 0, 0
131, ALONE, 16, 24, 7, 11, 9, 13, 0, 0
131, PEER, 16, 24, 7, 11, 9, 13, 0, 0
131, EXCL, 17, 23, 7, 11, 10, 12, 0, 0
132, ALONE, 11, 27, 6, 14, 5, 13, 2, 2
132, PEER, 12, 28, 6, 15, 6, 13, 0, 0
132, EXCL, 18, 22, 9, 11, 9, 11, 0, 0
