subject.name,condition,n_good.go,n_bad.go,n_good.stop,n_bad.stop,scan
101,3,7,6,13,12,1
101,4,10,6,12,9,1
102,3,9,12,7,11,1
102,4,13,10,9,7,1
104,3,2,7,10,15,1
104,4,6,11,9,11,1
105,4,12,11,9,6,1
105,3,13,8,12,4,1
106,3,6,6,13,14,1
106,4,7,6,13,10,1
107,3,13,13,7,7,0
107,4,14,13,7,5,0
108,3,10,9,11,10,1
108,4,11,8,12,8,1
109,3,5,4,15,13,1
109,4,7,6,14,13,1
110,3,10,7,13,10,1
110,4,11,8,12,9,1
111,3,7,10,11,12,1
111,4,10,10,10,9,1
112,3,5,5,14,13,0
112,4,5,8,12,14,0
113,4,8,8,12,12,1
113,3,10,8,11,10,1
114,3,8,8,13,11,1
114,4,11,6,14,9,1
115,4,5,11,9,15,1
115,3,8,6,15,11,1
116,4,9,12,9,10,1
116,3,14,10,10,6,1
117,3,9,13,7,11,1
117,4,10,13,7,10,1
119,3,12,18,3,6,1
119,4,15,10,10,4,1
120,4,8,7,13,11,1
120,3,11,6,12,9,1
121,4,6,5,15,12,1
121,3,9,8,12,11,1
122,3,3,3,16,16,1
122,4,3,5,15,17,1
124,3,5,7,14,14,1
124,4,5,5,15,15,1
125,4,3,6,14,15,1
125,3,8,3,17,11,1
126,3,8,6,13,11,1
126,4,9,5,15,11,1
127,3,0,0,20,19,1
127,4,4,1,18,15,1
128,4,7,10,10,13,1
128,3,10,8,12,10,1
129,4,10,10,11,9,1
129,3,11,8,11,8,1
130,4,5,9,11,15,1
130,3,7,7,13,13,1
131,3,7,9,11,13,1
131,4,7,10,11,12,1
132,3,6,6,15,13,1
132,4,9,9,11,11,1
133,4,8,12,8,12,1
133,3,10,8,12,9,1
134,4,10,11,9,7,1
134,3,11,8,9,7,1
135,4,1,2,18,17,1
135,3,3,1,17,16,1
136,4,6,11,10,12,1
136,3,11,9,11,8,1
137,3,2,4,16,17,1
137,4,3,7,14,15,1
138,4,6,8,3,3,0
138,3,9,4,16,10,0
139,4,2,4,17,17,1
139,3,3,7,13,17,1
140,3,1,4,16,19,1
140,4,12,13,5,8,1
141,3,5,7,14,14,1
141,4,7,3,17,13,1
142,3,5,7,14,14,1
142,4,15,13,7,5,1
143,4,8,11,10,10,0
143,3,9,10,10,11,0
144,3,5,9,11,13,1
144,4,8,10,10,10,1
145,3,15,14,4,4,1
145,4,16,12,6,2,1
146,3,6,7,14,13,1
146,4,9,5,15,11,1
150,3,5,10,9,14,1
150,4,7,8,12,13,1
151,3,5,7,13,14,1
151,4,6,6,14,14,1
152,3,8,11,9,12,1
152,4,12,10,10,7,1
155,4,6,2,19,12,1
155,3,9,5,15,10,1
156,4,3,2,15,13,1
156,3,6,4,16,11,1
157,3,9,10,10,11,1
157,4,15,15,5,5,1
158,4,6,7,14,13,0
158,3,8,4,16,12,0
159,4,13,18,2,5,1
159,3,16,15,6,3,1
160,3,7,14,5,11,1
160,4,14,13,4,5,1
161,3,8,11,10,11,1
161,4,9,15,5,11,1
162,3,5,9,12,14,1
162,4,8,8,12,12,1
163,3,8,8,12,12,1
163,4,8,8,13,11,1
164,3,7,8,12,12,1
164,4,8,10,10,12,1
165,3,6,6,14,14,1
165,4,9,4,17,10,1
167,3,3,7,14,16,1
167,4,9,5,15,11,1
168,3,6,4,16,14,1
168,4,10,8,11,10,1
169,4,6,11,7,8,1
169,3,15,11,8,4,1
170,3,5,9,10,13,1
170,4,6,5,15,14,1
171,4,10,15,5,8,1
171,3,13,13,6,7,1
172,3,6,7,11,14,1
172,4,9,11,9,9,1
173,3,11,5,16,8,1
173,4,16,10,10,4,1
174,4,11,12,9,8,1
174,3,13,12,8,7,1
175,3,10,8,9,7,1
175,4,10,9,10,7,1
176,3,3,11,10,16,0
176,4,7,8,12,13,0
177,3,9,4,15,10,1
177,4,9,6,13,10,1
178,4,8,10,8,9,1
178,3,14,13,5,4,1
179,3,8,7,12,12,1
179,4,11,10,10,9,1
181,3,9,9,11,11,1
181,4,9,8,12,11,1
182,4,4,8,12,16,1
182,3,6,6,14,14,1
183,3,10,8,12,9,1
183,4,11,8,12,9,1
184,3,8,12,8,11,1
184,4,9,6,13,10,1
185,3,8,11,9,12,1
185,4,9,13,8,9,1
186,3,10,10,10,9,1
186,4,11,10,10,7,1
187,3,9,10,8,10,1
187,4,12,12,9,7,1
188,3,6,7,14,13,1
188,4,8,4,16,12,1
189,3,7,2,16,11,0
190,3,6,7,12,14,1
190,4,12,9,7,7,1
191,3,11,11,9,8,0
191,4,11,10,10,9,0
192,3,8,6,15,11,1
192,4,16,17,3,4,1
193,3,8,7,13,10,1
193,4,10,5,14,10,1
194,3,6,8,12,14,1
194,4,7,9,11,12,1
195,4,3,7,14,16,1
195,3,4,3,16,15,1
196,3,14,11,8,6,1
196,4,14,17,3,5,1
197,4,10,15,5,8,1
197,3,11,11,8,6,1
,,,,,,
