ParcelID,Hem,Centroid (MNI),Community,parcel_name,heatmap_name
10,L,-32 -29.3 15.6,Auditory,lh.Parcel_10,Auditory_1
64,L,-46.3 -41.4 25.9,Auditory,lh.Parcel_64,Auditory_2
65,L,-35.8 -33.5 19.9,Auditory,lh.Parcel_65,Auditory_3
66,L,-52.7 -20.6 5.4,Auditory,lh.Parcel_66,Auditory_4
67,L,-59.6 -38.5 16.5,Auditory,lh.Parcel_67,Auditory_5
68,L,-58.7 -29.9 11.1,Auditory,lh.Parcel_68,Auditory_6
69,L,-40.6 -38.3 14.5,Auditory,lh.Parcel_69,Auditory_7
70,L,-33.7 -21.8 9.9,Auditory,lh.Parcel_70,Auditory_8
77,L,-37.2 -14 19.4,Auditory,lh.Parcel_77,Auditory_9
102,L,-52.2 -14.1 15.2,Auditory,lh.Parcel_102,Auditory_10
104,L,-50.6 -22.4 19.2,Auditory,lh.Parcel_104,Auditory_11
160,L,-56.5,Auditory,lh.Parcel_160,Auditory_12
171,R,33.6 -22.3 13,Auditory,rh.Parcel_171,Auditory_13
224,R,36.4 -30.7 19.4,Auditory,rh.Parcel_224,Auditory_14
227,R,53.8 -15.8 5.2,Auditory,rh.Parcel_227,Auditory_15
230,R,59.2 -38.6 14.6,Auditory,rh.Parcel_230,Auditory_16
232,R,61.7 -24 1.3,Auditory,rh.Parcel_232,Auditory_17
233,R,60 -25.2 10.2,Auditory,rh.Parcel_233,Auditory_18
239,R,38.4 -12.2 20,Auditory,rh.Parcel_239,Auditory_19
244,R,36.6 -10 12.4,Auditory,rh.Parcel_244,Auditory_20
268,R,60.9 -2.2 10.7,Auditory,rh.Parcel_268,Auditory_21
269,R,54.2 -13.6 16.9,Auditory,rh.Parcel_269,Auditory_22
329,R,39.7 -22.5 2.6,Auditory,rh.Parcel_329,Auditory_23
330,R,55.8 2 -2,Auditory,rh.Parcel_330,Auditory_24
21,L,-16.6 -36.1 42.7,CinguloOperc,lh.Parcel_21,CinguloOperc_1
22,L,-9.4 -0.1 42.9,CinguloOperc,lh.Parcel_22,CinguloOperc_2
27,L,-8.4 14.6 33.8,CinguloOperc,lh.Parcel_27,CinguloOperc_3
28,L,-9 25.3 27.7,CinguloOperc,lh.Parcel_28,CinguloOperc_4
34,L,-8 -8.7 62.9,CinguloOperc,lh.Parcel_34,CinguloOperc_5
40,L,-42.1 -4.5 47.3,CinguloOperc,lh.Parcel_40,CinguloOperc_6
63,L,-57.7 -40.6 35.8,CinguloOperc,lh.Parcel_63,CinguloOperc_7
71,L,-60,CinguloOperc,lh.Parcel_71,CinguloOperc_8
72,L,-52.9,CinguloOperc,lh.Parcel_72,CinguloOperc_9
76,L,-37.7 2.9 11.7,CinguloOperc,lh.Parcel_76,CinguloOperc_10
81,L,-36.6 1.4 6.4,CinguloOperc,lh.Parcel_81,CinguloOperc_11
82,L,-37.3 8.9 -0.9,CinguloOperc,lh.Parcel_82,CinguloOperc_12
84,L,-28.8 23.7 8.4,CinguloOperc,lh.Parcel_84,CinguloOperc_13
101,L,-59.8 -4.1 8.8,CinguloOperc,lh.Parcel_101,CinguloOperc_14
103,L,-55.1 -32.3 23,CinguloOperc,lh.Parcel_103,CinguloOperc_15
105,L,-58.8 -23.9 31,CinguloOperc,lh.Parcel_105,CinguloOperc_16
111,L,-51.8 -0.6 5,CinguloOperc,lh.Parcel_111,CinguloOperc_17
112,L,-48.6 7.5 11.1,CinguloOperc,lh.Parcel_112,CinguloOperc_18
147,L,-26.6 46.8 20.9,CinguloOperc,lh.Parcel_147,CinguloOperc_19
153,L,-28.8 38.3 28.2,CinguloOperc,lh.Parcel_153,CinguloOperc_20
180,R,16.2 -33.1 43.2,CinguloOperc,rh.Parcel_180,CinguloOperc_21
181,R,6.7 5 55.9,CinguloOperc,rh.Parcel_181,CinguloOperc_22
185,R,8.6 4.2 40.1,CinguloOperc,rh.Parcel_185,CinguloOperc_23
187,R,8.8 10.8 45.9,CinguloOperc,rh.Parcel_187,CinguloOperc_24
188,R,6 21.8 32.4,CinguloOperc,rh.Parcel_188,CinguloOperc_25
192,R,16.2 0.8 67.5,CinguloOperc,rh.Parcel_192,CinguloOperc_26
196,R,8 -6.2 63.7,CinguloOperc,rh.Parcel_196,CinguloOperc_27
198,R,42.5 -2.3 47.2,CinguloOperc,rh.Parcel_198,CinguloOperc_28
219,R,57.5 -40.3 34.7,CinguloOperc,rh.Parcel_219,CinguloOperc_29
223,R,54.9 -27 29.6,CinguloOperc,rh.Parcel_223,CinguloOperc_30
234,R,38.8 -14.4 -5,CinguloOperc,rh.Parcel_234,CinguloOperc_31
235,R,39.7 1.2 -13.1,CinguloOperc,rh.Parcel_235,CinguloOperc_32
238,R,36.7 5.2 12.7,CinguloOperc,rh.Parcel_238,CinguloOperc_33
245,R,39.6 10.4 -1.6,CinguloOperc,rh.Parcel_245,CinguloOperc_34
246,R,36.5 5.7 6,CinguloOperc,rh.Parcel_246,CinguloOperc_35
248,R,33.7 22.6 3.7,CinguloOperc,rh.Parcel_248,CinguloOperc_36
249,R,34 24.4 10,CinguloOperc,rh.Parcel_249,CinguloOperc_37
274,R,50.1 3 3.9,CinguloOperc,rh.Parcel_274,CinguloOperc_38
317,R,24.4 50.8 24.3,CinguloOperc,rh.Parcel_317,CinguloOperc_39
318,R,31.3 39.7 25.6,CinguloOperc,rh.Parcel_318,CinguloOperc_40
12,L,-6.1 -26 28.5,CinguloParietal,lh.Parcel_12,CinguloParietal_1
89,L,-12.7 -64.9 31.8,CinguloParietal,lh.Parcel_89,CinguloParietal_2
93,L,-10.9 -73.4 42.9,CinguloParietal,lh.Parcel_93,CinguloParietal_3
173,R,7.6 -27 28.4,CinguloParietal,rh.Parcel_173,CinguloParietal_4
254,R,15.6 -69.5 39.6,CinguloParietal,rh.Parcel_254,CinguloParietal_5
1,L,-11.2 -52.4 36.5,Default,lh.Parcel_1,Default_1
4,L,-11.7 26.7 57,Default,lh.Parcel_4,Default_2
6,L,-47.2 -58 30.8,Default,lh.Parcel_6,Default_3
25,L,-5.6 42.2 35.1,Default,lh.Parcel_25,Default_4
26,L,-1.7 -17.7 39.1,Default,lh.Parcel_26,Default_5
44,L,-19.5 30.1 45.5,Default,lh.Parcel_44,Default_6
94,L,-39.3 -73.9 38.3,Default,lh.Parcel_94,Default_7
114,L,-27.5 53.6 0,Default,lh.Parcel_114,Default_8
116,L,-5.9 54.8 -11.3,Default,lh.Parcel_116,Default_9
117,L,-6.8 38.2 -9.4,Default,lh.Parcel_117,Default_10
126,L,-99.1,Default,lh.Parcel_126,Default_11
127,L,-80.5,Default,lh.Parcel_127,Default_12
145,L,-15.9 48.6 37.2,Default,lh.Parcel_145,Default_13
146,L,-19.5 56.3 27.5,Default,lh.Parcel_146,Default_14
150,L,-6.5 54.7 18.1,Default,lh.Parcel_150,Default_15
151,L,-15.7 64.7 13.7,Default,lh.Parcel_151,Default_16
152,L,-6 44.9 6.3,Default,lh.Parcel_152,Default_17
154,L,-26.2 26.6 38.8,Default,lh.Parcel_154,Default_18
156,L,-29.3 16.8 50.7,Default,lh.Parcel_156,Default_19
157,L,-41.7 16.1 47.5,Default,lh.Parcel_157,Default_20
162,R,12.3 -51.6 34.5,Default,rh.Parcel_162,Default_21
165,R,11.9 21.9 59.9,Default,rh.Parcel_165,Default_22
184,R,7.7 44.1 5.5,Default,rh.Parcel_184,Default_23
186,R,3 -19.6 37.9,Default,rh.Parcel_186,Default_24
200,R,21.9 21 46.2,Default,rh.Parcel_200,Default_25
220,R,48.9 -53 28.6,Default,rh.Parcel_220,Default_26
225,R,62.5 -25.6 -5.5,Default,rh.Parcel_225,Default_27
257,R,7.4 -69.3 49.9,Default,rh.Parcel_257,Default_28
259,R,46.5 -67.3 36.2,Default,rh.Parcel_259,Default_29
278,R,4.8 65.1 -7.1,Default,rh.Parcel_278,Default_30
279,R,7.2 48.4 -10.1,Default,rh.Parcel_279,Default_31
290,R,57.5 -7.4 -16.4,Default,rh.Parcel_290,Default_32
315,R,21 32.8 42.1,Default,rh.Parcel_315,Default_33
316,R,21.4 42.8 35.1,Default,rh.Parcel_316,Default_34
321,R,16 61 19.8,Default,rh.Parcel_321,Default_35
322,R,8.2 53.8 14,Default,rh.Parcel_322,Default_36
323,R,5.9 54.9 29.4,Default,rh.Parcel_323,Default_37
324,R,13.8 46.7 42.1,Default,rh.Parcel_324,Default_38
325,R,6.8 44.5 34.8,Default,rh.Parcel_325,Default_39
326,R,30.6 18.9 48.7,Default,rh.Parcel_326,Default_40
331,R,54.4 1.1 -12.9,Default,rh.Parcel_331,Default_41
41,L,-27.3 -6.8 46.3,DorsalAttn,lh.Parcel_41,DorsalAttn_1
42,L,-27.3 1.9 52.9,DorsalAttn,lh.Parcel_42,DorsalAttn_2
43,L,-19.8 6.4 55.7,DorsalAttn,lh.Parcel_43,DorsalAttn_3
49,L,-21.3 -0.2 62.7,DorsalAttn,lh.Parcel_49,DorsalAttn_4
51,L,-31.1 -48.9 47.1,DorsalAttn,lh.Parcel_51,DorsalAttn_5
52,L,-42.9 -45 43,DorsalAttn,lh.Parcel_52,DorsalAttn_6
55,L,-51.7 -30.9 39.9,DorsalAttn,lh.Parcel_55,DorsalAttn_7
74,L,-43.6 36.3 8.5,DorsalAttn,lh.Parcel_74,DorsalAttn_8
87,L,-20.4 -64.6 51.4,DorsalAttn,lh.Parcel_87,DorsalAttn_9
88,L,-25.8 -65 32.2,DorsalAttn,lh.Parcel_88,DorsalAttn_10
91,L,-9.9 -56.9 59.8,DorsalAttn,lh.Parcel_91,DorsalAttn_11
92,L,-7.1 -63.7 54.9,DorsalAttn,lh.Parcel_92,DorsalAttn_12
95,L,-30 -74.1 36.1,DorsalAttn,lh.Parcel_95,DorsalAttn_13
100,L,-111.8,DorsalAttn,lh.Parcel_100,DorsalAttn_14
106,L,-45.2 2.7 32.4,DorsalAttn,lh.Parcel_106,DorsalAttn_15
107,L,-34.7 5.6 34,DorsalAttn,lh.Parcel_107,DorsalAttn_16
110,L,-37.6 38.4 17.2,DorsalAttn,lh.Parcel_110,DorsalAttn_17
